Time (s),VplgR (V),VplgL (V),Current (V)
0,1.664,1.36,-7.93624092e-05
0.205554008484,1.664,1.36004022989,-0.000107468406
0.400247097015,1.664,1.36008045977,-0.000192507996
0.600693941116,1.664,1.36012068966,-0.000117125045
0.799611091614,1.664,1.36016091954,-6.24790786e-05
1.00035214424,1.664,1.36020114943,-0.000167759751
1.20530104637,1.664,1.36024137931,-0.000185301399
1.40011811256,1.664,1.3602816092,-9.54378773e-05
1.60769510269,1.664,1.36032183908,-8.38441846e-05
1.80740404129,1.664,1.36036206897,-0.000193179065
2.00175499916,1.664,1.36040229885,-0.000131079392
2.20015907288,1.664,1.36044252874,-6.5444634e-05
2.40717506409,1.664,1.36048275862,-0.000161797844
2.6078619957,1.664,1.36052298851,-0.000187499639
2.80796694756,1.664,1.36056321839,-8.86009817e-05
3.00174498558,1.664,1.36060344828,-7.47398726e-05
3.20075511932,1.664,1.36064367816,-0.000196793194
3.40713405609,1.664,1.36068390805,-0.000130675644
3.60656905174,1.664,1.36072413793,-6.67684855e-05
3.80737709999,1.664,1.36076436782,-0.000155071148
4.00702309608,1.664,1.3608045977,-0.000191932691
4.20899415016,1.664,1.36084482759,-9.17176415e-05
4.40365195274,1.664,1.36088505747,-5.73412701e-05
4.60868501663,1.664,1.36092528736,-0.000195534185
4.80926704407,1.664,1.36096551724,-0.000148672888
5.00955915451,1.664,1.36100574713,-7.60703416e-05
5.20782613754,1.664,1.36104597701,-0.00013515321
5.40550899506,1.664,1.3610862069,-0.000208956899
5.60774493217,1.664,1.36112643678,-9.74811624e-05
5.80928707123,1.664,1.36116666667,-4.84406366e-05
6.00886106491,1.664,1.36120689655,-0.000186568826
6.21015501022,1.664,1.36124712644,-0.000163852681
6.40840601921,1.664,1.36128735632,-7.81252951e-05
6.60456395149,1.664,1.36132758621,-0.000107162105
6.80350708961,1.664,1.36136781609,-0.00018607124
7.00817894936,1.664,1.36140804598,-8.54538843e-05
7.20954799652,1.664,1.36144827586,-4.34358883e-05
7.41045498848,1.664,1.36148850575,-0.000183958778
7.6105761528,1.664,1.36152873563,-0.000166974992
7.80633711815,1.664,1.36156896552,-7.73665225e-05
8.00849795341,1.664,1.3616091954,-0.000108562592
8.20929193497,1.664,1.36164942529,-0.000198235187
8.40997195244,1.664,1.36168965517,-0.000107086311
8.61591506004,1.664,1.36172988506,-4.73553519e-05
8.81705904007,1.664,1.36177011494,-0.000187855505
9.01080608368,1.664,1.36181034483,-0.000193726099
9.20977115631,1.664,1.36185057471,-8.81601785e-05
9.41609501839,1.664,1.3618908046,-0.000103823481
9.61556315422,1.664,1.36193103448,-0.000191003203
9.81089806557,1.664,1.36197126437,-0.000134227573
10.0083250999,1.664,1.36201149425,-6.18658764e-05
10.2136521339,1.664,1.36205172414,-0.00017922135
10.4100699425,1.664,1.36209195402,-0.000206888469
10.6156930923,1.664,1.36213218391,-9.3382082e-05
10.810790062,1.664,1.36217241379,-9.66653652e-05
11.0147471428,1.664,1.36221264368,-0.000189178273
11.2129609585,1.664,1.36225287356,-0.000121222683
11.4092209339,1.664,1.36229310345,-5.84331724e-05
11.6162979603,1.664,1.36233333333,-0.000164841478
11.8183691502,1.664,1.36237356322,-0.00019109199
12.0168530941,1.664,1.3624137931,-9.18255565e-05
12.2141439915,1.664,1.36245402299,-8.84409759e-05
12.4122409821,1.664,1.36249425287,-0.000205066548
12.6164889336,1.664,1.36253448276,-0.000144927991
12.818434,1.664,1.36257471264,-6.84680559e-05
13.0168390274,1.664,1.36261494253,-0.000151835746
13.2186419964,1.664,1.36265517241,-0.000196203812
13.4167821407,1.664,1.3626954023,-9.51071561e-05
13.6112220287,1.664,1.36273563218,-5.93145371e-05
13.8123419285,1.664,1.36277586207,-0.000191926315
14.0184421539,1.664,1.36281609195,-0.000145489219
14.213465929,1.664,1.36285632184,-7.36831002e-05
14.417304039,1.664,1.36289655172,-0.000128777087
14.6142849922,1.664,1.36293678161,-0.000192225998
14.8140890598,1.664,1.36297701149,-0.000139207418
15.0198180676,1.664,1.36301724138,-6.23188312e-05
15.2182979584,1.664,1.36305747126,-0.000184840743
15.4185731411,1.664,1.36309770115,-0.000158287421
15.618035078,1.664,1.36313793103,-8.35998422e-05
15.8175611496,1.664,1.36317816092,-0.000128917365
16.015089035,1.664,1.3632183908,-0.000212549251
16.2180130482,1.664,1.36325862069,-0.000128707311
16.4181809425,1.664,1.36329885057,-6.83654333e-05
16.6192820072,1.664,1.36333908046,-0.00019475881
16.8190670013,1.664,1.36337931034,-0.000175468269
17.0153119564,1.664,1.36341954023,-8.98814021e-05
17.2190301418,1.664,1.36345977011,-0.000124265474
17.4258520603,1.664,1.3635,-0.00022824359
17.6196360588,1.664,1.36354022989,-0.000136971039
17.8249440193,1.664,1.36358045977,-6.20529526e-05
18.0268790722,1.664,1.36362068966,-0.000156656427
18.2167580128,1.664,1.36366091954,-0.000165617094
18.4183089733,1.664,1.36370114943,-7.6110764e-05
18.6197431087,1.664,1.36374137931,-0.000104866176
18.8201389313,1.664,1.3637816092,-0.000205381751
19.0258979797,1.664,1.36382183908,-0.000124048803
19.2198820114,1.664,1.36386206897,-7.5289191e-05
19.4190311432,1.664,1.36390229885,-0.000195914955
19.6197991371,1.664,1.36394252874,-0.000187540303
19.8201630116,1.664,1.36398275862,-9.3297987e-05
20.019824028,1.664,1.36402298851,-0.000105378081
20.2238650322,1.664,1.36406321839,-0.00021180768
20.4273631573,1.664,1.36410344828,-0.000125333915
20.620677948,1.664,1.36414367816,-7.86438173e-05
20.8196370602,1.664,1.36418390805,-0.000172600043
21.0242249966,1.664,1.36422413793,-0.000193123965
21.2248189449,1.664,1.36426436782,-9.76023125e-05
21.4267570972,1.664,1.3643045977,-8.86623401e-05
21.6206691265,1.664,1.36434482759,-0.00019963014
21.8270969391,1.664,1.36438505747,-0.000149424685
22.0277619362,1.664,1.36442528736,-6.68636487e-05
22.228675127,1.664,1.36446551724,-0.000169141352
22.4266650677,1.664,1.36450574713,-0.000200057708
